event_id,timestamp,price,side,reason,remaining,delta
1764517995028489,1766551052910.959,33000000000000.0,ask,initial,0.0111,0.0111
1764517995028489,1766551052910.959,2100200.0,ask,initial,0.5,0.5
1764517995028489,1766551052910.959,1200000.0,ask,initial,0.5,0.5
1764517995028489,1766551052910.959,1100200.0,ask,initial,1.0,1.0
1764517995028489,1766551052910.959,1000000.0,ask,initial,0.26,0.26
1764517995028489,1766551052910.959,960000.0,ask,initial,1.0,1.0
1764517995028489,1766551052910.959,950000.0,ask,initial,0.001,0.001
1764517995028489,1766551052910.959,900000.0,ask,initial,0.001,0.001
1764517995028489,1766551052910.959,800800.0,ask,initial,1.0,1.0
1764517995028489,1766551052910.959,800000.0,ask,initial,0.001,0.001
1764517995028489,1766551052910.959,780600.0,ask,initial,1.0,1.0
1764517995028489,1766551052910.959,750000.0,ask,initial,0.001,0.001
1764517995028489,1766551052910.959,700000.0,ask,initial,0.001,0.001
1764517995028489,1766551052910.959,650000.0,ask,initial,0.001,0.001
1764517995028489,1766551052910.959,600000.0,ask,initial,0.001,0.001
1764517995028489,1766551052910.959,585600.0,ask,initial,1.0,1.0
1764517995028489,1766551052910.959,550000.0,ask,initial,0.001,0.001
1764517995028489,1766551052910.959,500000.0,ask,initial,0.001,0.001
1764517995028489,1766551052910.959,480800.0,ask,initial,1.0,1.0
1764517995028489,1766551052910.959,475000.0,ask,initial,0.001,0.001
1764517995028489,1766551052910.959,450000.0,ask,initial,0.001,0.001
1764517995028489,1766551052910.959,425000.0,ask,initial,0.001,0.001
1764517995028489,1766551052910.959,400000.0,ask,initial,0.001,0.001
1764517995028489,1766551052910.959,385600.0,ask,initial,1.0,1.0
1764517995028489,1766551052910.959,375000.0,ask,initial,0.001,0.001
1764517995028489,1766551052910.959,350000.0,ask,initial,0.001,0.001
1764517995028489,1766551052910.959,325000.0,ask,initial,0.001,0.001
1764517995028489,1766551052910.959,300000.0,ask,initial,0.001,0.001
1764517995028489,1766551052910.959,275000.0,ask,initial,0.001,0.001
1764517995028489,1766551052910.959,250000.0,ask,initial,0.001,0.001
1764517995028489,1766551052910.959,225001.0,ask,initial,0.008889,0.008889
1764517995028489,1766551052910.959,225000.0,ask,initial,0.001,0.001
1764517995028489,1766551052910.959,200000.0,ask,initial,0.001,0.001
1764517995028489,1766551052910.959,190400.0,ask,initial,1.0,1.0
